age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
22,average,anything,socially,never,,"i suck at these things, but here it goes. i'm a laid back guy that
likes to just have fun. i'm currently working full time at a retail
job as management, not the best job out there, but i enjoy it. i
love to be outdoors any chance i get, whether it be hiking, going
to a park, or just going to a theme park.","currently just working a full time job and hanging out with
friends/family on my days off going hiking, bowling and stuff like
that.",hmm i'm good at alot of things.,my spiky hair?,"i have read all the harry potter, lord of the rings books and
currently reading games of thrones and hoping to get to hunger
games. way too many movies and music to list. i watch all kinds of
movies, music is pretty much any type of music. currently into
games of thrones, spartacus, walking dead, himym, two and a half
men and new girl. i love all types of food and is always willing to
try new food.",,"a little bit of everything! where im going to be in 10 years, what
i'm going to be eatting for lunch/dinner, or what im going to do on
my days off work","if im not working im usually out hanging with friends. i enjoy just
doing random things. finding new food joints to try out and things
like that",i have a okcupid account!,you want to get to know me better or hang out,asian,67,-1,other,2012-06-25-23-06,"oakland, california",,straight,has dogs and dislikes cats,agnosticism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)",single
30,fit,,socially,,graduated from masters program,"i moved here recently and love this place. i'm a half-urban,
half-mountain guy, devoted to the
walkable/bikeable/transit-rideable city, and to getting out in the
wilderness to remember that it exists. i love this progressive
free-thinking city, where people are active and politically active
and whimsical. and where i hear people speaking a dozen languages
every time i get coffee/get on bart/go anywhere.<br />
<br />
so far, i've been a biologist, a science teacher, a traveler, an
outdoor adventure guide, and a couple other things. i'll stay the
teaching route for the moment while i figure out my path in to
working on some kind of sustainability policy or work for ensuring
accurate science education.<br />
<br />
i laugh out loud.<br />
<br />
i'm a balance of things: intellectual and active and creative. i'll
geek out over a scientific journal, then go do some work on a
sculpture or painting. days need some active time: riding bikes,
walking places, helping out friends or friends-of-friends with
moving or fixing things (i genuinely love this; i need something
useful to do with my hands). i stay in shape and care about being
fit so i can be healthy and strong enough to do the things i like
to do.<br />
<br />
i'm fun, driven, bright, grounded, comfortable with myself. i hope
you are too. also, i'm grown up, you know? i'm emotionally
available and mentally healthy. i don't play hot and cold games or
try too hard to charm you / get obsessive / chase you when you're a
little out of reach. i'll respect you as my equal. i have two
little sisters so i'm well aware a lot of men play the
charmer/politician act, and also keep a collection of women on
strings. as i told my sobbing, heartbroken littlest sis at
christmas, those dudes are what they are, and they're not gonna
change. and i don't want to be them.<br />
<br />
basically, i'm happy to be out here. it feels like there's so much
to explore and i'd love to explore it with someone smart and
energetic who's been here maybe over a year and can show me around.
outdoorsy would be great, but it isn't a requirement for dating. be
extremely passionate and driven about something you care about,
that's all.","settling into a new city, figuring out how bio and sustainability
and education and urbanism and sculpture and travel are all going
to intersect. :-)<br />
<br />
maybe growing a beard. profusion of lazy-stubble this week. would i
turn immediately into a hipster or is that only true if the beard
is ironic?","making stuff, thinking about stuff and doing stuff.
laugh-milk-out-your-nose-funny banter.","depends. i've been told my eyes (isn't this the part where i'm
supposed to tell you they're ""piercing"" and that's supposed to be
good?)<br />
<br />
uh... if i've just come back from a camping trip, probably they
notice that i'm scruffy and covered in dirt. don't worry, i clean
up nice.","books: 1491. omnivore's dilemma. the amazing adventures of kavalier
and clay. the princess bride. the necessary revolution. dubliners.
the phantom tollbooth. the anatomy coloring book. on the origin of
species.<br />
<br />
music: live shows! local bands to fall in love with. new stuff. old
stuff. arcade fire. beatles. malajube. louis armstrong.
decemberists. phoenix. spoon. bach.<br />
<br />
food: healthy and only a little not healthy. pizza. blueberries.
mexican. salvadoran. spicy asian. indian. mission tacos. i make a
mean pasta sauce. and a real man can admit his addiction to milk
and cookies. just sayin'.","cities<br />
mountains<br />
travel<br />
bike<br />
friends<br />
creativity","symbiosis. where to go this weekend. politics. where to travel
someday. art. how to make the world better. work. what i can build
out of recycled materials. power tools. the way the sky looks
today. milk. why we can't get education right in this country.
cookies. why animals in australia are so fascinatingly weird and
whether this correlates to weirdness among australians. kissing.
why we're messing up so badly on universal healthcare. news. why
some people still don't realize how obvious -- and beautiful! --
evolution is. you.*<br />
<br />
*but, you know, not in a creepy or obsessive way.","getting ready for the weekend, riding bikes, dinner party and
movies with friends, out doing something fun.","i'm a sucker for pictures/youtube videos of baby animals (cute
overload ftw). i'm even worse than my six year old niece. i blame
her total lack of attention span.","you're bright, funny, creative and interesting, driven, passionate.
maybe you like to be outside and to travel. you like to laugh with
and at each other. you're incredibly-awesome but real -- you don't
have to pretend around me, you know? you want someone healthy and
grounded, not obsessive. you're together and grounded yourself, but
that doesn't mean you're never going to have a crappy day or melt
down or cry all over yourself/my shirt, and that's okay and
healthy. i want you to be human. cause i'm probably gonna have to
be human too, and it's way more fun with company. :-)",,74,-1,,2012-06-19-01-22,"san francisco, california",,straight,likes dogs and likes cats,atheism and laughing about it,m,,no,"english, spanish (poorly)",single
32,fit,,socially,sometimes,graduated from college/university,"i'm told i can get along with anyone - a product of growing up in
small town minnesota where if i had talked only to people that i
related with i'd have gone through my days mostly mute<br />
(half kidding)<br />
<br />
i can fall asleep anywhere any time. it's a gift. i'm like a
puppy<br />
<br />
may i never be too old for impromptu living room dance
parties<br />
<br />
a warm sf night is one of my favorite things. it makes me feel like
i've just stolen something from nature and gotten away with
it<br />
<br />
i'm offended by the rubiks cube<br />
<br />
never been good at one night stands<br />
<br />
love to read, write and make music. i have to deliberately set time
aside for the more quiet and thoughtful pursuits because these city
lights can be...so shiny. i'm a social creature. i like being
around people<br />
<br />
self deprecating humor will get you everywhere with me<br />
<br />
it is difficult to get the news from poetry but people die
miserably everyday for lack of what is found there - william
carlos williams<br />
<br />
i consider myself an ""actor"" but haven't done it for a while. i
also performed in an improv troupe for several years. i've let that
part of myself be taken over by the 9 to 5. i resolve to get it
back<br />
<br />
i enjoy fashion and aesthetics but they intimidate me like crazy.
really i'm just on this site to find someone who can keep me from
wearing holiday sweaters<br />
<br />
big ol' npr fan. this american life! forgetaboutit<br />
<br />
mood lighting, johnny walker on the rocks and good company are all
i want for my birthday. the day after, however, i want to pack a
picnic and drive up the coast<br />
<br />
i'm a mean tennis player, as in, i'm pretty good, not really mean","i work for a youth development non profit as a human resources
manager. i like my job and love the work we do but don't know if i
want it to be my career. my next step is a masters in psychology",,my use of profanity around children,"some favorite authors poets and playwrights are:<br />
<br />
stephen dunn, milan kundera, tony hoagland, miranda july, cormac
mccarthy, tom robbins, george bernard shaw, samual beckett, leonard
cohen and anne lamott<br />
<br />
music:<br />
<br />
leonard cohen, tom waits, bright eyes, pulp, radiohead, m ward,
gillian welch, regina spektor, depeche mode, the national, okkervil
river, ani difranco, the blow, cat power, elliott smith,
atmosphere, jay z, johnny cash, modest mouse, jolie holland, feist,
sole, smog, arcade fire, sage francis...<br />
<br />
guilty pleasures:<br />
<br />
comics. i used to spend all my paper route money on the little
bastards. not so much anymore but i still have a soft spot for
people in tights. huge x-men and batman fan. when i was 12 years
old michelle pfeiffer came along in that leather suite and
catapulted me into manhood (whatever way you want to take that is
probably correct)<br />
<br />
anything vampire is also locked away in the box-o-shame. i love
buffy the vampire slayer - actually, i kind of geek out on most of
the stuff that joss whedon has done.<br />
<br />
food:<br />
<br />
i love food, all food, but especially seafood. and i know i should
say that i cook because people like it when you say that, but i
don't much. someday though.","friends<br />
family<br />
just enough uncertainty<br />
conversation/companionship<br />
laughter<br />
that grain of salt","how to be a good friend/son/brother/person<br />
<br />
lyrics and poetry<br />
<br />
increasing my creative outlets<br />
<br />
how none of us are getting out of this alive<br />
<br />
travel/road trips<br />
<br />
ways to fill the existential void<br />
<br />
pheromones<br />
<br />
sex<br />
<br />
ways to make and keep myself happy<br />
<br />
finding the perfect karaoke song<br />
<br />
what/where to eat<br />
<br />
the thrill of putting into words what had previously been just a
vague ache or tingle somewhere between my brain and stomach",out/about,,,white,68,-1,other,2012-06-29-07-01,"san francisco, california",,straight,,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,no,english,single
27,average,anything,socially,,working on college/university,"iiiiiiiiiiiiiiiiii.... i hate talking about myself. i just moved to
sf from austin. i'm reinventing. i spend my time finding thrills
with good company, or solo. i party less than i used to....my
greatest ambition is to make the most of my life, gaining as much
knowledge, wisdom, and experience as i can. i believe that
happiness requires nothing more than a positive attitude. i like to
be excited/scared. all things music... water... reading, absorbing,
maturing, daydreaming, enjoying, indulging.. less.. and am always
laughing to myself. traveling is big in my to-do lists. is this an
interview? i'm over it. youll have to excuse my lack of on okcupid.
real life is mo betta.",the pursuit,,,,,scenarios that will probably never happen,,,"you wanna hang out potentially and don't expect me to wow you right
off the bat. annoying.",white,64,-1,other,2011-11-10-13-15,"san francisco, california",,straight,,agnosticism,f,gemini,trying to quit,"english, spanish (poorly)",single
27,athletic,anything,socially,never,graduated from college/university,"to life, love and loot<br />
<br />
i like smart, funny, and strong woman. i have been called picky. i
think its a consequence of being honest.<br />
<br />
i'm a boston convert. i've been in sf for 3 years and have explored
as much as i can, but theres plenty of more to do.<br />
<br />
my life plan:<br />
(1) bust my ass creating a company<br />
(2) sell it or ipo<br />
(3) take mini-retirements around the world<br />
(4) use my time exactly how i want... travel, create more
companies, invest or something i haven't thought of yet","im a founding partner and product manager at a sf start-up. and i
just moved into a home/office 30 seconds from the beach.<br />
<br />
m-f: if i'm not working, i'm sleeping or out on the beach. if i
have time, responding to people on okcupid<br />
<br />
sat-sun: napa, trying out a new restaurant, beers with friends,
comedy show, movie. and yeah, working","making people laugh :)<br />
<br />
or making an ass out of myself. sometimes they're one in the same.",my eyes. they're very green.,"i love tv, i love movies, and i love to read.<br />
<br />
theres a lot of great entertainment out there if your tastes are
open enough.<br />
<br />
<strong>right now i'm reading:</strong><br />
game of thrones<br />
<br />
i just finished the hunger games series and the tales of lisbeth
salander and mikael blomkvist. an nlp introductory<br />
<br />
<strong>watching:</strong><br />
alcatraz, how i met your mother, the young turks, and arrested
development again<br />
<br />
<strong>movies:</strong><br />
last i watched: 21 jump street<br />
<br />
favorite movies... a lot of them. limitless, there's something
about mary, lucky number s7even, fight club, the social network,
the hangover, crazy stupid love","1. great food<br />
2. big dreams<br />
3. people smarter then myself<br />
4. the internet :)<br />
5. beautiful women<br />
6. sleep... a good nights sleep can be amazing (i love my new bed
btw)<br />
<br />
and 7. why 7? because i like to go one step beyond.<br />
<br />
7. the people in my life","design, art, politics, movies, games, food!!<br />
<br />
i have 2 dreams at night i go to...<br />
<br />
(1) having a stopwatch that could freeze time<br />
(2) zombies ate my neighbors! how do i survive?","working with friends while having a beer<br />
trying out a new restaurant<br />
napa or sonoma<br />
at a movie<br />
drinks in the city","sometimes i'm still afraid of the dark. i've seen way too many
scary movies","if you like good conversation.<br />
<br />
it may not end in a date, but we can find something to laugh about",,72,-1,science / tech / engineering,2012-06-27-23-16,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,atheism,m,,no,english,single
38,average,mostly anything,socially,never,graduated from college/university,"much more to add, but this is a start...<br />
<br />
i am a mixture of silliness and seriousness, but the most important
thing to me is genuineness! i don't believe in always taking life
seriously as there is much to laugh at in our daily rat race! i've
been told by many that i have a very adaptable personality so i can
mesh with many types of people... also that they find it's almost
impossible to have a ""surface"" conversation with me.<br />
<br />
i like to make things fun. ""bored"" is strictly prohibited from my
vocabulary... i'm the type of girl who tries to make the best of
every situation (even the frustrating ones).<br />
<br />
i love everything from curling up on the couch to a movie... to
staying out all night in vegas to camping/hiking in yosemite... to
playing pool/darts in a dive-bar (nice bars are okay too)... to
long drives with the top down... to relaxing days at an art museum,
to nights out at concerts/plays/dancing... to sun shining down on
me at the beach, on the deck at sam's in tiburon, anywhere near
water.... and i absolutely love riding my bike....<br />
<br />
i am very passionate about travel and am explorative enough to go
by myself to other countries without reservations. i have a lot
more ground to cover, but i've been to costa rica (4x), peru,
chile, ecuador, jamaica, canada, mexico (shamefully been to cabo 7
times lol). i'd really love to go to brazil next, but it may be
germany/france, since i have places to stay.",,"using spell check<br />
being a goofball.<br />
building relationships / relating to others<br />
finding a silver lining.<br />
being compassionate<br />
driving (i swear:)<br />
parallel parking on hills<br />
finding humor, even in the worst of times",i'm guessing my hair,,"my how this has changed throughout the years...<br />
family/friends, music, clean underwear, a memory foam bed, love in
my heart, the means to travel",,,,,white,67,-1,computer / hardware / software,2012-05-25-00-04,"san leandro, california",doesn&rsquo;t have kids,straight,,christianity,f,libra,no,english,single
20,average,mostly vegetarian,socially,never,working on college/university,"""apparently,"" has become a new favorite word of mine, like
""perpendicular."" it's fun to say don't you think? do you have any
favorite words?<br />
<br />
perrrr piiinnn diiic uuulaarrr<br />
<br />
as naturally for myself, i'm laid back, ummm... witty, and uber
sarcastic. i cannot really describe myself without the fear of
sounding... vain. always been a happy chick and i tend to have a
good time everywhere i go and i also tend to dance out of nowhere.
it's my thang, ya dig? what comes after happiness? humor? sure,
humor. it's a little dark, a little vulgar, and it involves making
fun of myself and my friends. have you ever played ""your
team?""<br />
i appreciate everything in life. my friends, my family, my
co-workers, a blanket, nature, the city. psh! even those creepy
crawlies!<br />
i also say thank you a lot because i enjoy making others feel
appreciated and important. it totally boosts their esteem up! it
makes me happy!<br />
<br />
i swear too much by the way. hehe.<br />
<br />
can't think of anything else. i was born and raised in
norcal??<br />
<br />
let's be friends or whatever.","working at a doggy daycare. it's really fun and i love it!<br />
hanging out with my friends, riding my bike around town, laughing,
hugging, coming home with sand in hair, laying in the grass
enjoying the sunlight.<br />
&amp;<br />
spending too much time, money and gas in the eternal land of san
francisco and on concerts.<br />
<br />
trying to become a zoologist! ! !","being a girl...<br />
cooking vegetarian cuisine and top ramen, piecing things together,
being right, puzzles, being that one supportive friend, bantering
with my best friend, making fun of my friends, sometimes knowing
how to fix a computer, fitting in your pocket, being optimistic,
taking bad pictures of you, loving everyone, not hating everyone,
freaking out at cute animals like baby ducks.","people start speaking to me in spanish and i respond in
english.<br />
fo' real, it's my hair then my height then my eyes then my lips on
my face then my laid-back personality and positive energy.","everything, yo. i really enjoy non-fiction stuff, for example,
memories &amp; biographies. as well, fiction stuff, drama &amp;
mystery. i'm not picky.<br />
movies are tough becauuussee i don't watch them all that often. i'm
serious. it takes major convincing to make me watch a movie. i
pretty much like them all, even the cheesy kinds. except epic
movie, that movie was fucking terrible.<br />
shows: 30 rock, any 90s cartoon &amp; show, parks &amp; rec but i
don't watch shows all that much either. i haven't watched tv in 4
years. i have netflix though.<br />
music: obsessed with arcade fire (again), death from above, beirut,
animal collective, boys noize, cocorosie, coldplay, spokane, daft
punk, mstrkrft, justice, fever ray, crystal castles, fake blood,
fleet foxes, friendly fires and anything 80s!<br />
<br />
i ain't picky with food but i don't like mexican.<br />
edit on mexican: i had a freakin' lengua super taco in the mission
and it was delicious. that's probably the closet thing i'll ever
like about mexican food.","i can't choose. please don't let me choose... fine<br />
<br />
my best friends, education, acai juice, watching my dog sleep, san
francisco, my guilt for deep fried food.<br />
<br />
sandwiches.","what daydreamers only think about.<br />
<br />
moving to sf or portland. mostly portland. yeah, definitely
portland.<br />
<br />
grad school in sydney.<br />
living life in toronto<br />
then returning back to california and live in sf forever and having
my best friend be my neighbor.","it varies! i work on my friday nights but if there is something
going then most likely i will suck it up and go to that
event.<br />
i really love going to off the grid and stuff my face while
drinking a good beer.<br />
raving<br />
clubbing<br />
<br />
cuddling with my puppy<br />
<br />
or just chilling out, watching a show or movie with my best friend.","i turn 21 on july 1st. give me money and gifts. (jaykay)<br />
<br />
i have a whip in my car.<br />
<br />
i saw 2 of my former high school teachers on this site once. it was
awkward.","you wanna get guatemalan food with me in the mission.<br />
<br />
you like super tacos<br />
<br />
you wanna be friends.<br />
you wanna make out.<br />
you wanna dance with me.<br />
you wanna have adventures.<br />
you wanna day drink.<br />
you wanna rave.<br />
you wanna laugh.<br />
<br />
you wanna do whatever is fun.<br />
<br />
you think i'm pretty?<br />
i hope you don't find me intimidating because i'm really not.",,60,-1,hospitality / travel,2012-06-30-00-00,"san rafael, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,,f,cancer,no,"english (fluently), spanish (fluently)",single
27,thin,strictly anything,socially,never,graduated from college/university,"i grew up near sacramento, moved to sf for school, and stayed here
once i got a job after graduating. so except for a bit of
traveling, i've lived on northern california all my life. i hope to
explore some of the other places on my long list of cities i'd like
to live in, but in the meantime, i love it here in san
francisco.<br />
<br />
i enjoy artistic, creative things and like going to museums and
concerts. a big passion of mine is storytelling; i love movies,
books, and tv that have good story and characters. discussing all
these things is almost as much fun as consuming them. i make my
humble contribution to visual storytelling through the occasional
bit of animation, short film, and photography.<br />
<br />
i'm a big do-it-yourselfer and like working with my hands; i would
rather fix it myself than call someone to fix it....this usually
doesn't end in disaster.<br />
<br />
i'm introverted and sometimes a little too shy, but underneath that
i'm pretty bright and witty. an understanding and appreciation of
sarcasm and a smart sense of humor are pluses.","i'm a cinematic artist for a video game studio. i love being in a
creative environment surrounded by so many talented coworkers who
challenge me to always be improving my work. this job has
cultivated a strong passion for storytelling which has given me a
bigger appetite for movies, books, and tv. i love discussing these
and what makes them good or bad, why that story is strong, how the
lighting and camera work totally sold that scene, etc.",,,"a far-from-exhaustive sampling of each:<br />
<br />
books: a wild sheep chase, the hitchhiker's guide to the galaxy,
anathem, the amazing adventures of kavalier and clay, his dark
materials, good omens<br />
<br />
movies: big fish, 2001: a space odyssey, the princess bride, the
royal tenenbaums, scott pilgrim vs. the world, the incredibles, dr.
strangelove, star wars, almost famous, the city of lost
children<br />
<br />
music: the beatles, neutral milk hotel, the decemberists,
radiohead, stars, arcade fire, edward sharpe &amp; the magnetic
zeros, the black keys, iron &amp; wine, daft punk, broken social
scene, the mountain goats, devotchka, beirut<br />
<br />
food: sushi (especially unagi), great seafood of any kind really,
indian food, brunch or any excuse to eat breakfast food outside of
mornings, the puerto rican place near work, a good cold beer on a
warm day...or a cool day...or at night. i don't think i have the
expertise or discerning taste to call myself a foodie, but more
just an amateur enjoyer of tasty things.","family - i have a very supportive and close family that have been
the most consistent thing in my life.<br />
<br />
friends - i'm fortunate to have aquired a handful of strong friends
throughout my life that i can count on for everything from talking
me through a tough situation to keeping me from being bored on a
saturday night.<br />
<br />
music - i like to think i have a pretty deep music collection and
love sharing music recommendations.<br />
<br />
creative output - i tend to feel restless if i'm not keeping busy
working on something or other: effects for a friend's short film, a
sculpture, the wiring for those new kitchen lights.<br />
<br />
the great outdoors - i've become very much a city boy in the years
since i moved to sf, but i still need to get out in nature from
time to time and camp, hike, swim, snowboard.<br />
<br />
hmm, the elusive number six is not coming to me right now. i'll
fill this in when the no-doubt obvious answer makes itself
apparent.",,"out with friends enjoying a meal and/or some cocktails. maybe
catching a concert or just exploring the city. on the other hand,
after a long week, sometimes the best friday night is at home
watching something on netflix with something tasty being delivered.",,,white,69,-1,entertainment / media,2012-06-24-22-10,"san francisco, california",,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
26,athletic,,,never,,new here. coming soon ;),underwriting.,,,,,,,,,white,69,-1,banking / financial / real estate,2012-06-27-00-32,"san francisco, california",,straight,,,m,,,"english, russian",single
32,athletic,mostly anything,socially,never,graduated from college/university,"i lost a needle in a haystack once....and found it! that pretty
much sums me up!","after a 6 month backpacking trip through south america i returned
to the great city of san francisco and took a job with a tech
start-up with aspirations of breaking into the latin american
market. estamos tan cerca! :)",enjoying myself and being optimistic.,my smile.....or my ass :),,"1. my family<br />
2. my guitar<br />
3. burritos<br />
4. technology<br />
5. my passport<br />
6. san francisco giants",where i'm going to travel next...,,"i can't use forks that have prongs which aren't completely lined
up. don't get me started on un-lined up pronged forks....gross!!","you're awesome<br />
you're sexy<br />
you're adventurous",white,69,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",single
25,fit,mostly anything,socially,,working on college/university,"let's go to a festival and dance all night... running and dancing
with the stars. we will not rest until our naked bodies have melted
away and the awesome beauty of life, death, and the universe
becomes so clear. after which we will finish that bottle of jameson
and hold each other close, laughing at our friends and welcoming
the sunrise. a new day of adventure awaits.<br />
<br />
i am looking for many things: friendships, drinking/hiking/sports
buddies, love interests, adventure partners, business
opportunities... you name it. i am a social animal and appreciate
human interaction, so i am always interested in meeting new people
regardless of ""who"" or ""what"" they are. in practice, and in
mannerisms, i seem like quite the ""typical"" guy: i love to drink
beer, play sports, i listen to reggae, dubstep and hip-hop, and
enjoy a beach full of bikini-clad women as much as anyone. however,
yes, i can also be a bisexual, swinging, polyamorous, and
debaucherous individual. but that is just a part of me, and all
that really means anyway is i'm open minded. i have always fully
imagined marrying and having kids one day, but i'm open to whatever
life may bring. while i am secretly and totally a hopeless
romantic, i am not trying to rush in to things or grow up too
fast.<br />
i strive in my daily life to be relaxed and down-to-earth, but
still adventurous... i try not to take the day-to-day of life too
seriously. :-)<br />
<br />
a note on ""bisexuality"":<br />
for you hetero-normative folk: do not be afraid of the term
""bisexual"". it is just a term, and a very limiting one at that. i
am just as heterosexual as a ""straight man"". i am just as
homosexual as a ""gay"" man. and just because i may be bisexual and
perhaps polyamorous, does not mean that i am unable to be in a
happy, committed, and fulfilling relationship with a single
partner. in fact, such an arrangement has been my norm.","i am living. bartending, schooling, rocking out to my radio...
seeking new adventures and opportunities around every corner!","... taking the experience of getting lost and transforming it in to
a beautifully drunken day of adventure.",... is that i am laughing... because life is ridiculous.,"humph. where to begin?<br />
i like comedies that make me laugh and dramas that make me
feel.<br />
i like books that make me think and music that makes me want to
walk-down-to... electric avenue!<br />
<br />
i don't watch tv really ever, but i grudginly admit there a couple
shows out there that are pretty entertaining.<br />
<br />
and food? i love food. i'll eat almost anything that's not seafood
(i know, how tragic)<br />
<br />
question: do people really read this section? i can't imagine
judging someone based on a list of books and movies...","love<br />
friendship<br />
music<br />
burning man<br />
passion<br />
hot and sour soup","how to make the world a better place. and that usually starts with
how do i develop in to a better person.<br />
<br />
i also tend to get songs stuck in my head way too often. :-)","there is no typical friday: i could be at an outdoor festival in
golden gate park, dancing my ass off to pretty lights, or i could
be watching a movie at home with the roomies. sometimes i like to
go out to shows, clubs, and bars. other times i like to kick it at
home with close friends, chilling hard, talking, drinking,
plotting, and dreaming.",i am hesitantly giving this whole online dating thing a try.,"if you want to go to a festival and dance all night... running and
dancing with the stars. we will not rest until our naked bodies
have melted away and the awesome beauty of life, death, and the
universe becomes so clear. after which we will finish that bottle
of jameson and hold each other close, laughing at our friends and
welcoming the sunrise. a new day of adventure awaits.","hispanic / latin, white",69,-1,other,2012-06-28-12-57,"oakland, california","doesn&rsquo;t have kids, but might want them",bisexual,likes dogs and likes cats,,m,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)",single
27,curvy,,socially,,,"why, hello there.<br />
<br />
i'm entertaining the thought that i could come across someone just
as equally rad, bodacious and fun who blows my mind and our
exchange develops into something too good for words.<br />
i'm a riot with a good heart.<br />
<br />
oakland made me, the east bay raised me, lived in vegas, the
silicon valley catapulted my career, and now i am planting seeds in
sf near(ish) my home in walnut creek.<br />
<br />
i've learned enough of my mother's native lingo to find my way back
to the beach and enough exotic languages to fall in love.<br />
i'm visual, a soulful vocalist, a believer in exploring passions,
positive action, and celebrating often. i know when to fold and
when to raise. i set my own standard. i'm well-loved by my
<a class=""ilink"" href=""/interests?i=diverse"">diverse</a> family and
friends. i have no enemies but time. entj. i love dancing and how
sexy you look in a fedora and dark shades. i love me some super
high heels just as much as my daisy dukes and rugged boots when i
rough it with my dogs. i love to explore. so pack yer bags darlin,
or keep one next to mine in the trunk.<br />
<br />
i'm resilient and direct because i've been there, learned that, and
i trust you have, too.<br />
<br />
<em>""i, with a deeper instinct, choose a man who compels my
strength, who does not doubt my courage or my toughness, who does
not believe me naive or innocent, who has the courage to treat me
like a woman.""</em><br />
<br />
-anais nin","my own thing.<br />
business woman. family woman. musician.","fun. doing what i please, very well. compassion. cooking. stiff
drinks. design. planning. relaxing. packing. communicating.
presentation. intuition. being the fun auntie with nieces/nephews.
entertaining dinner parties.",presence.,"books: reading is sexy. yes. many. everyday.<br />
<br />
cinema: from valentino and film noir, wes anderson &amp; robert
rodriguez to current bad ass films<br />
<br />
tube: tcm, bourdain, it crowd, mad men<br />
<br />
tunes: santigold, muse, black keys, sinatra, slayer, zeppelin,
hendrix, crash kings, shakira, flamenco, bossa nova, temper trap,
phantogram, jack johnson, phoenix, kimbra, ray lamontagne, thievery
corporation, this can go on forever....<br />
<br />
noms: yummy kinds. clean, south american, asian, mediterranean","laughter<br />
passion<br />
beauty<br />
quality over quantity<br />
charm<br />
high thread count<br />
coloring outside of the lines",tu fuego. tu beso. su encanto.,enjoying it. any day can be a friday.,"i enjoy drinking brut champagne in the shower.<br />
i once caught a fly with chopsticks.<br />
my venus is in scorpio.","if there's a possibility that we can't resist each other at some
point.<br />
<br />
laughter and chemistry both rock my world. wit and charm are a part
of my daily repertoire, so bring it.<br />
<br />
""it is a happy talent to know how to play. being able to play with
those you love is possibly the sweetest gift life offers."" - ralph
waldo emerson<br />
<br />
<em>+points if you actually read my profile.</em>",,63,-1,entertainment / media,2012-06-29-17-20,"walnut creek, california",,straight,,,f,libra,,english,single
